DestinationPort,FlowDurationMs,TotalFwdPackets,TotalLenFwdPackets,FwdPacketLenMax,FwdPacketLenMin,FwdPacketLenMean,FwdPacketLenStd,BwdPacketLenMax,BwdPacketLenMin,BwdPacketLenMean,BwdPacketLenStd,FlowBytesPerSec,FlowPacketsPerSec,FlowIATMean,FlowIATStd,FlowIATMax,FlowIATMin,FwdIATTotal,FwdIATMean,FwdIATStd,FwdIATMax,FwdIATMin,BwdIATTotal,BwdIATMean,BwdIATStd,BwdIATMax,BwdIATMin,FINFlagCount,PSHFlagCount,ACKFlagCount,InitWinBytesFwd,InitWinBytesBwd,AveragePacketSize
80,56.78520559074629,2,83,50,40,41.59161337413296,3.2223942163739094,0,0,0,0,1461.6483137911837,35.2204412961731,28392.602795373143,1113.6026727024928,55541.903114306086,0.1495095155974352,56785.205590746285,28392.602795373143,1682.2793004900702,35985.08713479305,3.405076321509023,0,0,0,0,0,0,0,1,1827,0,41.59161337413296
80,35.91128171293121,15,756,67,40,50.41671888663504,4.470884587484393,0,0,0,0,21051.880187494775,417.69603546616617,2394.085447528748,123.02333477124823,3346.602255809735,1.3888951153099134,35911.28171293122,2394.085447528748,279.77619896692886,4647.615638434163,3.3287271688206004,0,0,0,0,0,0,0,0,664,0,50.41671888663504
80,6.121599258777424,4,176,56,40,44.143204516750075,3.165883497195326,0,0,0,0,28750.65690516139,653.4240205718498,1530.399814694356,244.22433781074878,2406.620677218842,0.07781092720779981,6121.599258777424,1530.399814694356,229.10141636077918,2775.112558002435,2.7370140568907484,0,0,0,0,0,0,0,0,1228,0,44.143204516750075
53,55.84103495505966,12,604,70,40,50.36946054335263,0.6309898838564427,0,0,0,0,10816.418436479436,214.89573052608154,4653.419579588305,194.8921632595949,6994.330760919425,4.13786448041335,55841.034955059666,4653.419579588305,354.11602595800224,6455.719283626922,4.387633121434057,0,0,0,0,0,0,0,0,1774,0,50.36946054335263
443,81.89425196447664,2,102,59,40,51.182910864029076,0.07692566716149063,0,0,0,0,1245.50865968279,24.421738425152746,40947.12598223832,5046.501376036576,75892.32962528616,2.2971769588593505,81894.25196447664,40947.12598223832,922.8663122406662,50314.0559569803,0.6468456978033332,0,0,0,0,0,0,0,0,962,0,51.182910864029076
53,17.698626995965796,13,664,69,40,51.12186156671587,6.050501653673504,0,0,0,0,37517.034522019785,734.5202541961704,1361.4328458435227,140.36077510055438,1726.0179388727117,2.4838484280881037,17698.626995965795,1361.4328458435227,51.421396586486395,2608.994854713183,4.054717452424269,0,0,0,0,0,0,0,1,2026,0,51.12186156671587
80,73.35226172478598,12,610,52,40,50.87423788926108,7.764543811984227,0,0,0,0,8316.035329472043,163.5941376289582,6112.688477065498,667.2508311933709,9618.843874476788,0.5612690590784741,73352.26172478597,6112.688477065498,745.0315794013857,10548.851634664928,0.9340008987741694,0,0,0,0,0,0,0,1,1967,0,50.87423788926108
80,29.024510260109643,13,689,55,40,53.004821489716235,7.506363961091091,0,0,0,0,23738.557302961268,447.8973076030428,2232.6546353930494,302.5413953024122,2980.222596556406,0.9588079552496415,29024.510260109644,2232.6546353930494,204.9703039475992,3445.692532323475,4.344872938534702,0,0,0,0,0,0,0,0,1345,0,53.004821489716235
53,36.21276274050111,9,372,69,40,41.4341791525303,4.975520611868662,0,0,0,0,10272.62135909745,248.53116191364794,4023.640304500124,363.74029258056873,7122.473531529625,0.9417676211014214,36212.762740501115,4023.640304500124,793.1897574759524,6914.836157198963,2.4088692345297154,0,0,0,0,0,0,0,0,1888,0,41.4341791525303
15550,26.97672710644482,3,132,60,40,52.453624530426666,1.4936812938696087,0,0,0,0,4893.106546214971,111.20696695943116,8992.24236881494,0,26976.727106444818,0,26976.727106444818,8992.24236881494,0,26976.727106444818,0,0,0,0,0,0,0,0,0,4119,0,43.36784747047119
56874,28.35779811547835,2,116,60,40,48.588443017937394,1.3863905154279226,0,0,0,0,4090.585578175919,70.52733755475722,14178.899057739174,0,28357.79811547835,0,28357.79811547835,14178.899057739174,0,28357.79811547835,0,0,0,0,0,0,0,0,0,1478,0,59.068431199949266
31924,24.673302707988913,2,86,60,40,51.74304847613986,3.873768479308347,0,0,0,0,3485.5487738232246,81.05927380984244,12336.651353994457,0,24673.302707988914,0,24673.302707988914,12336.651353994457,0,24673.302707988914,0,0,0,0,0,0,0,0,0,7655,0,48.549853438628354
63717,22.94308227439696,3,174,60,40,47.293239890607595,4.791544409192097,0,0,0,0,7583.9853564127725,130.75836821401333,7647.694091465654,0,22943.082274396962,0,22943.082274396962,7647.694091465654,0,22943.082274396962,0,0,0,0,0,0,1,0,0,6316,0,47.627709308012605
60254,28.791030824795232,3,150,60,40,58.36793124915202,2.9849192318043603,0,0,0,0,5209.955868298329,104.19911736596659,9597.010274931743,0,28791.03082479523,0,28791.03082479523,9597.010274931743,0,28791.03082479523,0,0,0,0,0,0,0,0,0,4185,0,54.207340558121665
36663,44.67254208896978,3,147,60,40,44.83735642347537,1.7010937143651566,0,0,0,0,3290.6119313119675,67.15534553697893,14890.847362989925,0,44672.54208896978,0,44672.54208896978,14890.847362989925,0,44672.54208896978,0,0,0,0,0,0,0,0,0,6673,0,59.376608038257906
3457,8.992825265547326,2,120,60,40,52.78174273507096,3.888640397737592,0,0,0,0,13343.971049869664,222.39951749782773,4496.412632773663,0,8992.825265547326,0,8992.825265547326,4496.412632773663,0,8992.825265547326,0,0,0,0,0,0,1,0,0,3134,0,58.42255056043378
59488,12.917608244314916,3,171,60,40,53.94424473301514,1.587683848882064,0,0,0,0,13237.74469435994,232.24113498877088,4305.869414771639,0,12917.608244314917,0,12917.608244314917,4305.869414771639,0,12917.608244314917,0,0,0,0,0,0,0,0,0,1475,0,50.40806740904786
19975,20.92969219295972,3,150,60,40,47.298677918699596,2.2021290526344344,0,0,0,0,7166.851696483937,143.33703392967874,6976.564064319907,0,20929.69219295972,0,20929.69219295972,6976.564064319907,0,20929.69219295972,0,0,0,0,0,0,0,0,0,4312,0,53.29689572078179
45962,7.219540361636141,2,82,60,40,49.7053844944651,2.884993302058174,0,0,0,0,11358.063795271393,277.02594622613157,3609.7701808180705,0,7219.540361636141,0,7219.540361636141,3609.7701808180705,0,7219.540361636141,0,0,0,0,0,0,0,0,0,3648,0,42.64085659631241
22,319.23655550397837,7,507,137,60,72.50808253259997,22.812875381116008,73,55,98.6642443813215,22.077796249843804,2826.159910882268,34.45720676516608,29021.50504581622,3777.442536553985,69156.29724074222,9.978746601448059,191541.93330238704,31923.65555039784,7621.396402912738,47277.491628038384,26.67486051050125,127694.62220159137,26119.354541234596,8507.357385837091,70763.82670211553,33.001313117655656,1,1,1,14491,14171,85.58616345696073
8080,13367.224922113808,45,58506,1319,458,1300.1489160687831,177.84123931856556,1042,210,401.7509524173882,177.54857466250502,4947.920731819829,4.787829962681547,208862.88940802825,126383.16855122938,1959020.3348125366,166.33232128308595,9357057.445479665,271521.75623043673,112109.07106351854,1547488.3208286858,148.30246491506685,6683612.461056904,229749.1783488311,280932.551208125,1589421.3291982643,266.8960514201036,1,1,1,65535,27888,850.9499342430856
8080,9027.676042451152,48,30113,1372,378,627.3632578074607,290.77138922853396,645,275,491.5850173397668,104.24809109372963,3716.8515283835904,6.092376348173285,164139.56440820277,174377.8897541443,776403.4943216535,53.264009568479906,6319373.229715806,213381.43373066362,245718.85312484798,961661.8489397421,358.4893040983216,4513838.021225576,180553.52084902307,229473.80218603392,1008267.0532860984,125.65349661764222,1,1,1,65535,65352,559.4741375736138
8000,12052.491392534967,16,15753,1443,496,984.5875330158866,258.4551092668242,742,164,642.9512949777013,129.9757725463338,2160.600692403428,2.6550527154759105,376640.3560167177,264941.2910537572,3652590.4726110455,271.60501181294774,8436743.974774476,489632.462821733,374300.0035265705,3639034.6293071443,135.1761743282419,6026245.696267483,414304.39161838946,214458.68236965037,2276432.26207581,465.07522138868535,1,1,1,65535,45547,813.7694139967939
