DestinationPort,FlowDurationMs,TotalFwdPackets,TotalLenFwdPackets,FwdPacketLenMax,FwdPacketLenMin,FwdPacketLenMean,FwdPacketLenStd,BwdPacketLenMax,BwdPacketLenMin,BwdPacketLenMean,BwdPacketLenStd,FlowBytesPerSec,FlowPacketsPerSec,FwdPacketsPerSec,BwdPacketsPerSec,FlowIATMean,FlowIATStd,FlowIATMax,FlowIATMin,FwdIATTotal,FwdIATMean,FwdIATStd,FwdIATMax,FwdIATMin,BwdIATTotal,BwdIATMean,BwdIATStd,BwdIATMax,BwdIATMin,MinPacketLength,MaxPacketLength,FINFlagCount,PSHFlagCount,ACKFlagCount,InitWinBytesFwd,InitWinBytesBwd,AveragePacketSize
60405.0,5.0,2.0,42.0,42.0,0.0,21.0,29.698484809834994,0.0,0.0,0.0,0.0,8400000.0,399999.99999999994,399999.99999999994,0.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1.0,1.0,2.0,16385.0,0.0,42.0
443.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86956.52173913043,86956.52173913043,0.0,23.0,0.0,23.0,23.0,23.0,23.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
443.0,5294.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.7861730260672,188.8930865130336,188.8930865130336,5294.0,0.0,5294.0,5294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,255.0,19.0,0.0
443.0,134260.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3447043050797,7.4482347683598995,14.896469536719799,67130.0,63179.99089901802,111805.0,22455.0,0.0,0.0,0.0,0.0,0.0,111805.0,111805.0,0.0,111805.0,111805.0,0.0,0.0,2.0,0.0,3.0,255.0,1044.0,0.0
5222.0,269491.0,2.0,70.0,70.0,0.0,35.0,49.49747468305833,72.0,0.0,36.0,50.91168824543142,526.9192663205822,14.842796234382597,7.421398117191298,7.421398117191298,89830.33333333333,107053.31251452863,212659.0,16364.0,269491.0,269491.0,0.0,269491.0,269491.0,212659.0,212659.0,0.0,212659.0,212659.0,0.0,72.0,0.0,2.0,4.0,507.0,1155.0,53.0
64959.0,13631421.0,24.0,4228.0,585.0,0.0,176.16666666666669,181.84983453069344,121.0,0.0,5.500000000000001,25.79728667902887,319.0423067411681,3.3745564750732884,1.7606381609078028,1.6139183141654858,302920.4666666666,535839.4678157985,2353796.0,102.0,13591319.0,590926.9130434784,665051.2387550515,2393919.0,11509.0,13588884.0,647089.7142857143,669303.5233317649,2394706.0,24495.0,0.0,585.0,0.0,24.0,46.0,16.0,255.0,95.41304347826087
37020.0,12036622.0,5.0,165.0,33.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,13.708164965220309,0.41539893834000935,0.41539893834000935,0.0,3009155.5,5977.094528280442,3013034.0,3000307.0,12036622.0,3009155.5,5977.094528280442,3013034.0,3000307.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,39.6
53.0,4469.0,1.0,52.0,52.0,52.0,52.0,0.0,68.0,68.0,68.0,0.0,26851.644663235624,447.52741105392704,223.76370552696352,223.76370552696352,4469.0,0.0,4469.0,4469.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,68.0,0.0,0.0,0.0,0.0,0.0,86.0
443.0,910176.0,12.0,581.0,517.0,0.0,48.41666666666668,148.708047305226,1412.0,0.0,149.6206896551724,400.74487910399904,5405.547937981226,45.04623281651021,13.184263263368843,31.86196955314137,22754.399999999998,64277.29202080782,354290.0,0.0,910176.0,82743.27272727274,153503.08372087573,486637.0,39.0,778792.0,27814.0,74669.48708214829,354290.0,0.0,0.0,1412.0,0.0,8.0,40.0,65535.0,904.0,120.0
60217.0,14992958.0,5.0,1561.0,536.0,210.0,312.2,148.55705974473244,59.0,0.0,9.833333333333334,24.086649137367917,108.05072621426673,0.7336777705906999,0.33348989572304544,0.40018787486765456,1499295.8,2798173.3315605023,8506115.0,40132.0,10594790.0,2648697.5,3946875.56801533,8546247.0,201516.0,14952826.0,2990565.2,3502727.3522738963,8546849.0,201559.0,0.0,536.0,0.0,6.0,11.0,16383.0,251.0,183.1818181818182
